Month & Year,Total Revenue,Total MRR,Total Expense,Total Processing Fees,Net Profit,EBITDA Revenue,EBITDA,Reserve Allocations,Adjusted Profit,Connor,Dividend Connor,Jayden,Dividend Jayden,Previous Month (Link),Month and Year,DateClean
May 2024,$96046.70,$68850.70,$17172.71,$3562.34,$75311.65,$96046.70,100,$6778.05,$68533.61,$27413.44,checked,$41120.16,checked,April 2024,May 2024,2024/05/1
June 2024,$56779.99,$52316.44,$19391.48,$2104.15,$35284.36,$56779.99,100,$3175.59,$32108.77,$12843.51,checked,$19265.26,checked,May 2024,June 2024,2024/06/1
July 2024,$85104.30,$79154.28,$14272.73,$3023.90,$67807.68,$85104.30,100,$6102.69,$61704.99,$24681.99,checked,$37022.99,checked,June 2024,July 2024,2024/07/1
August 2024,$112330.33,$97612.99,$17591.92,$4048.67,$90689.74,$112330.33,100,$8162.08,$82527.66,$33011.06,checked,$49516.60,checked,July 2024,August 2024,2024/08/1
September 2024,$117082.22,$111245.63,$32977.73,$4247.72,$79856.76,$117082.22,100,$7187.11,$72669.65,$29067.86,checked,$43601.79,checked,August 2024,September 2024,2024/09/1
October 2024,$74587.53,$73899.79,$21919.88,$2737.70,$49929.95,$74587.53,100,$4493.70,$45436.25,$18174.50,checked,$27261.75,checked,September 2024,October 2024,2024/10/1
November 2024,$86426.59,$85720.54,$29527.58,$3175.35,$53723.66,$86426.59,100,$4835.13,$48888.53,$19555.41,checked,$29333.12,checked,October 2024,November 2024,2024/11/1
December 2024,$64010.11,$59695.85,$22223.64,$2345.07,$39441.40,$64010.11,100,$3549.73,$35891.67,$14356.67,checked,$21535.00,checked,November 2024,December 2024,2024/12/1
January 2025,$50628.81,$49916.20,$28980.32,$1849.08,$19799.41,$50628.81,100,$1781.95,$18017.47,$7206.99,checked,$10810.48,checked,December 2024,January 2025,2025/01/1
February 2025,$30117.41,$29411.35,$24686.04,$1090.67,$4340.70,$30117.41,100,$390.66,$3950.03,$1580.01,checked,$2370.02,checked,January 2025,February 2025,2025/02/1
March 2025,$18530.96,$17817.50,$18655.07,$662.11,-$786.22,$18530.96,100,-$70.76,-$715.46,-$286.19,checked,-$429.28,checked,February 2025,March 2025,2025/03/1
April 2025,$39459.06,$37025.80,$21586.62,$1438.42,$16434.02,$39459.06,100,$1479.06,$14954.96,$5981.98,checked,$8972.98,checked,March 2025,April 2025,2025/04/1
May 2025,$24006.90,$23317.20,$20017.77,$864.68,$3124.45,$24006.90,100,$281.20,$2843.25,$1137.30,checked,$1705.95,checked,April 2025,May 2025,2025/05/1
June 2025,$53827.73,$36887.40,$20206.60,$1969.84,$31651.29,$53827.73,100,$2848.62,$28802.67,$11521.07,checked,$17281.60,checked,May 2025,June 2025,2025/06/1
July 2025,$30297.87,$26176.30,$25543.28,$1098.22,$3656.37,$30297.87,100,$329.07,$3327.30,$1330.92,checked,$1996.38,checked,June 2025,July 2025,2025/07/1
August 2025,$33824.66,$33136.80,$30531.02,$1228.33,$2065.31,$33824.66,100,$185.88,$1879.44,$751.77,checked,$1127.66,checked,July 2025,August 2025,2025/08/1
September 2025,$88842.17,$80481.92,$34889.72,$3266.19,$50686.26,$88842.17,100,$4561.76,$46124.50,$18449.80,checked,$27674.70,checked,August 2025,September 2025,2025/09/1
October 2025,$97913.33,$94395.99,$27821.78,$3299.22,$66792.33,$97913.33,100,$6011.31,$60781.02,$24312.41,checked,$36468.61,checked,September 2025,October 2025,2025/10/1
November 2025,$75157.37,$74456.00,$30015.50,$2455.45,$42686.42,$75157.37,100,$3841.78,$38844.64,$15537.86,checked,$23306.78,checked,October 2025,November 2025,2025/11/1
December 2025,$0.00,$0.00,$3852.17,$0.00,-$3852.17,$0.00,0,$0.00,-$3852.17,-$1540.87,,-$2311.30,,November 2025,December 2025,2025/12/1
January 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,December 2025,January 2026,2026/01/1
Feburary 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,January 2026,February 2026,2026/00/1
March 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,Feburary 2026,March 2026,2026/03/1
April 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,March 2026,April 2026,2026/04/1
May 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,April 2026,May 2026,2026/05/1
June 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,May 2026,June 2026,2026/06/1
July 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,June 2026,July 2026,2026/07/1
August 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,July 2026,August 2026,2026/08/1
September 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,August 2026,September 2026,2026/09/1
October 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,September 2026,October 2026,2026/10/1
November 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,October 2026,November 2026,2026/11/1
December 2026,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,$0.00,,$0.00,,November 2026,December 2026,2026/12/1
